grafo,generador,algoritmo_flujo,vertices,densidad,aristas,fuente,sumidero,media,mediana,varianza,desviacion
vertices256aristas5107,newman_watts_strogatz_graph,maximum_flow,256,5107,,10,243,0.05266,0.05097,3.00E-05,0.00572
vertices256aristas5107,newman_watts_strogatz_graph,boykov_kolmogorov,256,5107,,10,243,0.08688,0.08706,0.00021,0.01456
vertices256aristas5107,newman_watts_strogatz_graph,edmonds_karp,256,5107,,10,243,0.03665,0.03714,8.00E-05,0.00892
vertices256aristas5107,newman_watts_strogatz_graph,maximum_flow,256,5107,,10,243,0.05051,0.0524,2.00E-05,0.00418
vertices256aristas5107,newman_watts_strogatz_graph,boykov_kolmogorov,256,5107,,10,243,0.08438,0.08415,5.00E-05,0.00737
vertices256aristas5107,newman_watts_strogatz_graph,edmonds_karp,256,5107,,10,243,0.04015,0.04679,0.0001,0.01024
vertices256aristas5107,newman_watts_strogatz_graph,maximum_flow,256,5107,,10,243,0.0493,0.05044,8.00E-05,0.00917
vertices256aristas5107,newman_watts_strogatz_graph,boykov_kolmogorov,256,5107,,10,243,0.0857,0.08466,6.00E-05,0.00785
vertices256aristas5107,newman_watts_strogatz_graph,edmonds_karp,256,5107,,10,243,0.04065,0.04479,7.00E-05,0.00841
vertices256aristas5107,newman_watts_strogatz_graph,maximum_flow,256,5107,,10,243,0.04691,0.04688,8.00E-05,0.00871
vertices256aristas5107,newman_watts_strogatz_graph,boykov_kolmogorov,256,5107,,10,243,0.08249,0.08467,9.00E-05,0.0094
vertices256aristas5107,newman_watts_strogatz_graph,edmonds_karp,256,5107,,10,243,0.04442,0.04011,0.00017,0.01318
vertices256aristas5107,newman_watts_strogatz_graph,maximum_flow,256,5107,,10,243,0.04939,0.04839,5.00E-05,0.00729
vertices256aristas5107,newman_watts_strogatz_graph,boykov_kolmogorov,256,5107,,10,243,0.08623,0.08422,6.00E-05,0.00755
vertices256aristas5107,newman_watts_strogatz_graph,edmonds_karp,256,5107,,10,243,0.03723,0.03778,4.00E-05,0.00616
vertices256aristas5123,newman_watts_strogatz_graph,maximum_flow,256,5123,,10,243,0.04875,0.04949,2.00E-05,0.00494
vertices256aristas5123,newman_watts_strogatz_graph,boykov_kolmogorov,256,5123,,10,243,0.05872,0.05523,8.00E-05,0.00867
vertices256aristas5123,newman_watts_strogatz_graph,edmonds_karp,256,5123,,10,243,0.03972,0.04129,6.00E-05,0.00774
