Grafo,Fuente,Sumidero,Mediatime,Medianatime,Stdtime,Flujomaximo,DistGrado,CoefAgrup,CentCercania,CentCarga,ExcentCarga,PageR
grafo1,0,1,0.024993563,0.02344501,0.010362196,33,3,0.666666667,0.395833333,0.009624756,4,0.038791492
grafo1,0,2,0.037282872,0.031238556,0.021262214,33,3,0.666666667,0.395833333,0.009624756,4,0.038791492
grafo1,0,3,0.034125161,0.031256557,0.019961403,33,3,0.666666667,0.395833333,0.009624756,4,0.038791492
grafo1,0,4,0.035931969,0.031241417,0.022144218,33,3,0.666666667,0.395833333,0.009624756,4,0.038791492
grafo1,0,5,0.039053679,0.031242251,0.020081854,33,3,0.666666667,0.395833333,0.009624756,4,0.038791492
grafo1,0,6,0.040615511,0.031243682,0.018746345,33,3,0.666666667,0.395833333,0.009624756,4,0.038791492
grafo1,0,7,0.041173792,0.03124404,0.018921989,33,3,0.666666667,0.395833333,0.009624756,4,0.038791492
grafo1,0,8,0.045553112,0.03249979,0.021327299,33,3,0.666666667,0.395833333,0.009624756,4,0.038791492
grafo1,0,9,0.040612602,0.031247973,0.020000127,33,3,0.666666667,0.395833333,0.009624756,4,0.038791492
grafo1,0,10,0.042180896,0.031259775,0.0221461,33,3,0.666666667,0.395833333,0.009624756,4,0.038791492
grafo1,0,11,0.037491465,0.031243205,0.017394944,33,3,0.666666667,0.395833333,0.009624756,4,0.038791492
grafo1,0,12,0.032803822,0.031237602,0.01630571,18,3,0.666666667,0.395833333,0.009624756,4,0.038791492
grafo1,0,13,0.052293897,0.046860218,0.017863445,33,3,0.666666667,0.395833333,0.009624756,4,0.038791492
grafo1,0,14,0.040615535,0.031242251,0.01874693,33,3,0.666666667,0.395833333,0.009624756,4,0.038791492
grafo1,0,15,0.051696682,0.046863437,0.022009311,33,3,0.666666667,0.395833333,0.009624756,4,0.038791492
grafo1,0,16,0.054675102,0.046866059,0.025425328,33,3,0.666666667,0.395833333,0.009624756,4,0.038791492
grafo1,0,17,0.049987817,0.046865106,0.019508877,33,3,0.666666667,0.395833333,0.009624756,4,0.038791492
grafo1,0,18,0.039050436,0.031243682,0.020068735,33,3,0.666666667,0.395833333,0.009624756,4,0.038791492
grafo1,0,19,0.04081285,0.031250715,0.016394311,33,3,0.666666667,0.395833333,0.009624756,4,0.038791492
grafo1,1,0,0.031242609,0.015636206,0.024201794,33,4,0.5,0.452380952,0.034478558,3,0.049420697
grafo1,1,2,0.042352128,0.031251073,0.02128473,44,4,0.5,0.452380952,0.034478558,3,0.049420697
grafo1,1,3,0.035928631,0.031243324,0.022150645,44,4,0.5,0.452380952,0.034478558,3,0.049420697
grafo1,1,4,0.043740177,0.031254172,0.018221256,44,4,0.5,0.452380952,0.034478558,3,0.049420697
grafo1,1,5,0.045301652,0.039052844,0.017738259,44,4,0.5,0.452380952,0.034478558,3,0.049420697
grafo1,1,6,0.046864462,0.046842813,0.017109286,44,4,0.5,0.452380952,0.034478558,3,0.049420697
grafo1,1,7,0.041059232,0.031244397,0.018574162,44,4,0.5,0.452380952,0.034478558,3,0.049420697
grafo1,1,8,0.054035807,0.046863198,0.020402754,42,4,0.5,0.452380952,0.034478558,3,0.049420697
grafo1,1,9,0.049985409,0.046862483,0.019505037,44,4,0.5,0.452380952,0.034478558,3,0.049420697
grafo1,1,10,0.05468955,0.046888471,0.020059985,44,4,0.5,0.452380952,0.034478558,3,0.049420697
grafo1,1,11,0.042178583,0.031246901,0.018551067,44,4,0.5,0.452380952,0.034478558,3,0.049420697
grafo1,1,12,0.029682398,0.015622139,0.024658628,18,4,0.5,0.452380952,0.034478558,3,0.049420697
grafo1,1,13,0.045384789,0.031674385,0.021419128,33,4,0.5,0.452380952,0.034478558,3,0.049420697
grafo1,1,14,0.049986911,0.046861529,0.022962601,42,4,0.5,0.452380952,0.034478558,3,0.049420697
grafo1,1,15,0.062485337,0.054674268,0.020960756,44,4,0.5,0.452380952,0.034478558,3,0.049420697
grafo1,1,16,0.049991894,0.046846867,0.022953347,34,4,0.5,0.452380952,0.034478558,3,0.049420697
grafo1,1,17,0.056513548,0.046866059,0.01862909,42,4,0.5,0.452380952,0.034478558,3,0.049420697
grafo1,1,18,0.054675031,0.046867013,0.016005182,44,4,0.5,0.452380952,0.034478558,3,0.049420697
grafo1,1,19,0.050260234,0.046857119,0.022927881,44,4,0.5,0.452380952,0.034478558,3,0.049420697
grafo1,2,0,0.035929537,0.031242013,0.018550271,33,5,0.2,0.487179487,0.132919103,3,0.060195216
grafo1,2,1,0.045301485,0.031242371,0.021482071,44,5,0.2,0.487179487,0.132919103,3,0.060195216
grafo1,2,3,0.043736839,0.031260371,0.021874736,49,5,0.2,0.487179487,0.132919103,3,0.060195216
grafo1,2,4,0.045301938,0.031246305,0.024650801,49,5,0.2,0.487179487,0.132919103,3,0.060195216
