Nodo,DistGrado,CoefAgrup,CentCercania,CentCarga,ExcentCarga,PageR
0,4,0.16666666666666666,0.5135135135135135,0.023294346978557506,3,0.036580139543718165
1,7,0.3333333333333333,0.6129032258064516,0.05105123920913393,2,0.05674685996822697
2,5,0.2,0.5428571428571428,0.04385442773600669,3,0.04490768406051295
3,6,0.3333333333333333,0.5757575757575758,0.04076858813700919,3,0.05072796118788439
4,5,0.2,0.5588235294117647,0.03499837556855101,3,0.04334732289448821
5,5,0.5,0.5428571428571428,0.009896268448900026,3,0.04187014202312122
6,5,0.4,0.5588235294117647,0.012305068226120854,3,0.041751325215672506
7,8,0.10714285714285714,0.6333333333333333,0.10676749744732203,2,0.06549841890183916
8,9,0.2777777777777778,0.6333333333333333,0.08937621832358673,3,0.07098756977941886
9,8,0.25,0.6129032258064516,0.06492040285899935,3,0.06349592538454255
10,7,0.3333333333333333,0.6129032258064516,0.05732966675949132,2,0.05639190386060485
11,9,0.25,0.6551724137931034,0.10530376868096165,2,0.07173097994634375
12,5,0.3,0.5588235294117647,0.012186716791979945,3,0.04156516381244148
13,6,0.2,0.5588235294117647,0.032569850552306684,3,0.04952388533622927
14,5,0.5,0.5428571428571428,0.018497632971317176,3,0.042941669473059156
15,6,0.4,0.5757575757575758,0.03635825675299359,3,0.049898575432618546
16,5,0.4,0.5428571428571428,0.018518518518518517,3,0.041943651765914476
17,3,0.0,0.48717948717948717,0.0158869395711501,3,0.02955371425805812
18,5,0.3,0.5277777777777778,0.030347860391720043,3,0.04387979863511879
19,7,0.3333333333333333,0.59375,0.037873619233268346,3,0.05665730852018654
