Datos del Grafo 3: Fuentes y sumideros que maximizan el flujo   ,,,,,,,,,,,
Fuente,Sumidero,Mediatime,Medianatime,Stdtime,Flujomaximo,DistGrado,CoefAgrup,CentCercania,CentCarga,ExcentCarga,PageR
7,9,0.046864581,0.039054394,0.020961362,59,5,0.2,0.5,0.090046296,3,0.060348434
9,7,0.047202253,0.040737152,0.020734569,59,5,0.1,0.463414634,0.082602339,4,0.06025394
7,15,0.049987578,0.046862483,0.019509667,56,5,0.2,0.5,0.090046296,3,0.060348434
9,15,0.04842689,0.046862841,0.016305805,56,5,0.1,0.463414634,0.082602339,4,0.06025394
15,7,0.076020908,0.069894552,0.033839559,56,5,0.1,0.558823529,0.146353151,3,0.060469142
15,9,0.050129843,0.03774631,0.026045694,56,5,0.1,0.558823529,0.146353151,3,0.060469142
2,7,0.046864176,0.039052367,0.020954904,55,4,0,0.487179487,0.068908382,3,0.049478994
2,9,0.05182519,0.046870708,0.018503548,55,4,0,0.487179487,0.068908382,3,0.049478994
2,12,0.040614963,0.031244874,0.018748829,55,4,0,0.487179487,0.068908382,3,0.049478994
2,15,0.049988747,0.046864033,0.015306158,55,4,0,0.487179487,0.068908382,3,0.049478994
7,2,0.045301914,0.031262517,0.0214768,55,5,0.2,0.5,0.090046296,3,0.060348434
7,12,0.043944526,0.03227973,0.01808379,55,5,0.2,0.5,0.090046296,3,0.060348434
9,2,0.048430443,0.046855807,0.020307824,55,5,0.1,0.463414634,0.082602339,4,0.06025394
9,12,0.039054871,0.031247616,0.015997197,55,5,0.1,0.463414634,0.082602339,4,0.06025394
12,2,0.042173767,0.031249046,0.018539957,55,4,0,0.475,0.058065302,3,0.050058964
12,7,0.050085449,0.046882868,0.016974688,55,4,0,0.475,0.058065302,3,0.050058964
12,9,0.040612125,0.031279087,0.01591924,55,4,0,0.475,0.058065302,3,0.050058964
12,15,0.048426628,0.0468539,0.020305251,55,4,0,0.475,0.058065302,3,0.050058964
15,2,0.05140059,0.044610143,0.016261187,55,5,0.1,0.558823529,0.146353151,3,0.060469142
15,12,0.051691246,0.046849489,0.016954781,55,5,0.1,0.558823529,0.146353151,3,0.060469142
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
0,6,0.056236887,0.046871066,0.018743095,48,4,0.333333333,0.475,0.065919428,3,0.049563871
0,7,0.045520115,0.039059281,0.018149975,48,4,0.333333333,0.475,0.065919428,3,0.049563871
0,9,0.049987316,0.046863079,0.019508738,48,4,0.333333333,0.475,0.065919428,3,0.049563871
0,11,0.047039485,0.046865344,0.01712168,48,4,0.333333333,0.475,0.065919428,3,0.049563871
0,12,0.043739676,0.031275988,0.018224388,48,4,0.333333333,0.475,0.065919428,3,0.049563871
0,15,0.043901753,0.034452438,0.017008031,48,4,0.333333333,0.475,0.065919428,3,0.049563871
1,0,0.040809059,0.031275511,0.018656423,48,5,0.4,0.463414634,0.073180637,4,0.060998588
1,6,0.054678297,0.046869755,0.016001255,48,5,0.4,0.463414634,0.073180637,4,0.060998588
1,11,0.046863627,0.046836138,0.017109417,48,5,0.4,0.463414634,0.073180637,4,0.060998588
2,0,0.051743555,0.046869636,0.018510012,48,4,0,0.487179487,0.068908382,3,0.049478994
2,6,0.042175722,0.031245112,0.018547841,48,4,0,0.487179487,0.068908382,3,0.049478994
2,11,0.039053488,0.031242847,0.020066871,48,4,0,0.487179487,0.068908382,3,0.049478994
4,0,0.044147062,0.031260967,0.021664849,48,5,0.2,0.513513514,0.122368421,3,0.060229132
4,6,0.054678416,0.046865702,0.016015187,48,5,0.2,0.513513514,0.122368421,3,0.060229132
4,11,0.047062159,0.039060235,0.020969356,48,5,0.2,0.513513514,0.122368421,3,0.060229132
5,0,0.055012035,0.046883225,0.017358769,48,4,0.166666667,0.475,0.077948343,4,0.049557354
5,6,0.039053535,0.031243205,0.016006774,48,4,0.166666667,0.475,0.077948343,4,0.049557354
5,11,0.043737507,0.031252742,0.018214371,48,4,0.166666667,0.475,0.077948343,4,0.049557354
6,0,0.054675293,0.046868682,0.02006569,48,4,0.333333333,0.475,0.044736842,3,0.049164816
6,1,0.058001184,0.047894597,0.015557937,48,4,0.333333333,0.475,0.044736842,3,0.049164816
6,2,0.042178321,0.031268597,0.015696172,48,4,0.333333333,0.475,0.044736842,3,0.049164816
6,4,0.054674053,0.046871424,0.016001872,48,4,0.333333333,0.475,0.044736842,3,0.049164816
6,5,0.040811682,0.031247854,0.018660588,48,4,0.333333333,0.475,0.044736842,3,0.049164816
6,7,0.037488604,0.031241775,0.021191026,48,4,0.333333333,0.475,0.044736842,3,0.049164816
6,9,0.040618849,0.031249404,0.019999803,48,4,0.333333333,0.475,0.044736842,3,0.049164816
6,11,0.03749063,0.031242013,0.0211896,48,4,0.333333333,0.475,0.044736842,3,0.049164816
6,12,0.040616298,0.031260967,0.015931902,48,4,0.333333333,0.475,0.044736842,3,0.049164816
6,15,0.045734358,0.039056778,0.018568,48,4,0.333333333,0.475,0.044736842,3,0.049164816
7,0,0.05318749,0.046849132,0.028100041,48,5,0.2,0.5,0.090046296,3,0.060348434
7,6,0.039247799,0.031245708,0.020448516,48,5,0.2,0.5,0.090046296,3,0.060348434
7,11,0.037494183,0.031260014,0.01739009,48,5,0.2,0.5,0.090046296,3,0.060348434
9,0,0.053112698,0.046864867,0.021188813,48,5,0.1,0.463414634,0.082602339,4,0.06025394
9,6,0.039051318,0.031242132,0.020068743,48,5,0.1,0.463414634,0.082602339,4,0.06025394
9,11,0.039053822,0.031245232,0.020076127,48,5,0.1,0.463414634,0.082602339,4,0.06025394
11,0,0.0499892,0.046859026,0.019510445,48,4,0,0.475,0.047770468,3,0.049650073
11,1,0.047399807,0.046842813,0.018144949,48,4,0,0.475,0.047770468,3,0.049650073
11,2,0.037491393,0.031243205,0.012497808,48,4,0,0.475,0.047770468,3,0.049650073
11,4,0.049988174,0.046846032,0.022964498,48,4,0,0.475,0.047770468,3,0.049650073
11,5,0.044778419,0.032311082,0.019734985,48,4,0,0.475,0.047770468,3,0.049650073
11,6,0.037489271,0.031241059,0.021210039,48,4,0,0.475,0.047770468,3,0.049650073
11,7,0.037491083,0.031243563,0.021195082,48,4,0,0.475,0.047770468,3,0.049650073
11,9,0.037492037,0.031241775,0.021196501,48,4,0,0.475,0.047770468,3,0.049650073
