Datos del Grafo 4: Fuentes y sumideros que maximizan el flujo,,,,,,,,,,,
Fuente,Sumidero,Mediatime,Medianatime,Stdtime,Flujomaximo,DistGrado,CoefAgrup,CentCercania,CentCarga,ExcentCarga,PageR
8,11,0.073502135,0.062519073,0.018502218,102,9,0.277777778,0.633333333,0.089376218,3,0.07098757
11,8,0.079668665,0.062485695,0.02745976,102,9,0.25,0.655172414,0.105303769,2,0.07173098
7,8,0.061169481,0.054674625,0.018206855,91,8,0.107142857,0.633333333,0.106767497,2,0.065498419
7,11,0.070145273,0.062469721,0.020130996,91,8,0.107142857,0.633333333,0.106767497,2,0.065498419
8,7,0.064047503,0.06248498,0.016320185,91,9,0.277777778,0.633333333,0.089376218,3,0.07098757
11,7,0.084355235,0.078106284,0.022312267,91,9,0.25,0.655172414,0.105303769,2,0.07173098
7,9,0.067171597,0.062484503,0.014067144,89,8,0.107142857,0.633333333,0.106767497,2,0.065498419
8,9,0.062485337,0.046898961,0.024191118,89,9,0.277777778,0.633333333,0.089376218,3,0.07098757
9,7,0.067168331,0.06248486,0.022150097,89,8,0.25,0.612903226,0.064920403,3,0.063495925
9,8,0.062485361,0.054674506,0.020965594,89,8,0.25,0.612903226,0.064920403,3,0.063495925
9,11,0.076544547,0.062486649,0.02147572,89,8,0.25,0.612903226,0.064920403,3,0.063495925
11,9,0.064526725,0.062485099,0.020321774,89,9,0.25,0.655172414,0.105303769,2,0.07173098
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
1,19,0.054674649,0.04686439,0.016007367,79,7,0.333333333,0.612903226,0.051051239,2,0.05674686
7,1,0.0593611,0.046864271,0.021870221,79,8,0.107142857,0.633333333,0.106767497,2,0.065498419
7,19,0.061169291,0.048110604,0.021327527,79,8,0.107142857,0.633333333,0.106767497,2,0.065498419
8,1,0.060923147,0.054659009,0.017747156,79,9,0.277777778,0.633333333,0.089376218,3,0.07098757
8,19,0.063983417,0.057160854,0.021924478,79,9,0.277777778,0.633333333,0.089376218,3,0.07098757
9,1,0.060919762,0.04686439,0.021478339,79,8,0.25,0.612903226,0.064920403,3,0.063495925
9,19,0.062746835,0.062449813,0.016903415,79,8,0.25,0.612903226,0.064920403,3,0.063495925
10,1,0.060923338,0.054657698,0.01774856,79,7,0.333333333,0.612903226,0.057329667,2,0.056391904
10,19,0.085917401,0.101538062,0.026371843,79,7,0.333333333,0.612903226,0.057329667,2,0.056391904
11,1,0.059627199,0.048194528,0.01805198,79,9,0.25,0.655172414,0.105303769,2,0.07173098
11,19,0.05185194,0.046864033,0.021897614,79,9,0.25,0.655172414,0.105303769,2,0.07173098
19,1,0.05936439,0.04689765,0.018218497,79,7,0.333333333,0.59375,0.037873619,3,0.056657309
19,7,0.06248529,0.046882153,0.022103761,79,7,0.333333333,0.59375,0.037873619,3,0.056657309
19,8,0.062485313,0.054674864,0.020958499,79,7,0.333333333,0.59375,0.037873619,3,0.056657309
19,9,0.068980885,0.062485695,0.032365583,79,7,0.333333333,0.59375,0.037873619,3,0.056657309
19,10,0.095290375,0.101539731,0.033830197,79,7,0.333333333,0.59375,0.037873619,3,0.056657309
19,11,0.054713941,0.046863794,0.020151204,79,7,0.333333333,0.59375,0.037873619,3,0.056657309
1,3,0.054674697,0.046864152,0.016007452,68,7,0.333333333,0.612903226,0.051051239,2,0.05674686
3,1,0.054674697,0.046864033,0.021245865,68,6,0.333333333,0.575757576,0.040768588,3,0.050727961
3,7,0.057798934,0.04686439,0.01854963,68,6,0.333333333,0.575757576,0.040768588,3,0.050727961
3,8,0.051818275,0.046863794,0.022665553,68,6,0.333333333,0.575757576,0.040768588,3,0.050727961
3,9,0.057323432,0.046863914,0.021060229,68,6,0.333333333,0.575757576,0.040768588,3,0.050727961
3,10,0.056236887,0.04686451,0.018745649,68,6,0.333333333,0.575757576,0.040768588,3,0.050727961
3,11,0.051550412,0.046864033,0.01407483,68,6,0.333333333,0.575757576,0.040768588,3,0.050727961
3,19,0.064047503,0.054690003,0.023638632,68,6,0.333333333,0.575757576,0.040768588,3,0.050727961
7,3,0.059361124,0.04686892,0.018217178,68,8,0.107142857,0.633333333,0.106767497,2,0.065498419
8,3,0.062485242,0.054673433,0.022099452,68,9,0.277777778,0.633333333,0.089376218,3,0.07098757
9,3,0.059361005,0.046864152,0.021870208,68,8,0.25,0.612903226,0.064920403,3,0.063495925
10,3,0.060629892,0.04894197,0.021306589,68,7,0.333333333,0.612903226,0.057329667,2,0.056391904
11,3,0.056236863,0.046864033,0.018754427,68,9,0.25,0.655172414,0.105303769,2,0.07173098
19,3,0.057797575,0.04686451,0.01854999,68,7,0.333333333,0.59375,0.037873619,3,0.056657309
1,12,0.045301819,0.031243324,0.024652785,63,7,0.333333333,0.612903226,0.051051239,2,0.05674686
3,12,0.059361124,0.046869874,0.01821771,63,6,0.333333333,0.575757576,0.040768588,3,0.050727961
7,12,0.051550388,0.046864033,0.022146701,63,8,0.107142857,0.633333333,0.106767497,2,0.065498419
8,12,0.064047408,0.06248498,0.024650173,63,9,0.277777778,0.633333333,0.089376218,3,0.07098757
9,12,0.079668808,0.078107715,0.032359397,63,8,0.25,0.612903226,0.064920403,3,0.063495925
10,12,0.053112626,0.046863914,0.021190116,63,7,0.333333333,0.612903226,0.057329667,2,0.056391904
11,12,0.049988174,0.046863317,0.022967542,63,9,0.25,0.655172414,0.105303769,2,0.07173098
