Nodo,DistGrado,CoefAgrup,CentCercania,CentCarga,ExcentCarga,PageR
0,7,0.3333333333333333,0.6129032258064516,0.04310834957764781,2,0.0562711987403759
1,5,0.5,0.5135135135135135,0.01590086326928432,3,0.04230576194849961
2,6,0.2,0.5588235294117647,0.049374593892137754,3,0.049993239532387546
3,7,0.2857142857142857,0.59375,0.04987352640861412,3,0.05632883974956199
4,10,0.24444444444444444,0.6785714285714286,0.13663905133203375,2,0.07850925331386421
5,6,0.26666666666666666,0.5757575757575758,0.028179244407314577,3,0.04929376737881281
6,7,0.3333333333333333,0.6129032258064516,0.059547015687366554,2,0.05689079070988743
7,7,0.23809523809523808,0.6129032258064516,0.08594054580896687,2,0.05840906751449341
8,6,0.4,0.5428571428571428,0.0316067947646895,3,0.0498880848717753
9,7,0.2857142857142857,0.5757575757575758,0.06172027290448342,3,0.05700694593375884
10,5,0.4,0.5277777777777778,0.02107235681797085,3,0.04328463949908586
11,6,0.2,0.5757575757575758,0.04172700269191498,3,0.050289792621365875
12,5,0.2,0.5428571428571428,0.02404506636962777,3,0.042504736746785995
13,6,0.13333333333333333,0.59375,0.05539543302701198,2,0.05015686896911895
14,5,0.3,0.5277777777777778,0.017051308827624612,3,0.042520542625102443
15,4,0.3333333333333333,0.5135135135135135,0.016593567251461987,3,0.03574825467361177
16,7,0.2857142857142857,0.6129032258064516,0.05155771372876636,2,0.056947304869948576
17,3,0.3333333333333333,0.4634146341463415,0.009868421052631578,3,0.02920468505625851
18,5,0.5,0.5277777777777778,0.0222953216374269,3,0.043490162114975195
19,6,0.3333333333333333,0.5588235294117647,0.04400062656641604,3,0.05095606313032965
